postcode,block_number,latitude,longitude
524494,494,1.3638,103.95344
524890,890,1.3475,103.93353
523890,890,1.34731,103.93377
522890,890,1.34691,103.93341
791469,469,1.3959,103.87808
671549,549,1.38969,103.76839
672549,549,1.38974,103.76784
821206,206,1.39923,103.9015
821310,310,1.4087,103.90133
821258,258,1.4038,103.89599
822258,258,1.40368,103.89646
822261,261,1.40602,103.89651
821261,261,1.40597,103.8968
522520,520,1.35727,103.93967
523520,520,1.35674,103.93969
763317,317,1.43378,103.84311
763316,316,1.43292,103.84347
761317,317,1.43451,103.84329
760316,316,1.43304,103.84223
760318,318,1.43347,103.84375
761318,318,1.43407,103.84357
762318,318,1.43368,103.84387
762315,315,1.43193,103.84257
823261,261,1.40562,103.89647
822260,260,1.40488,103.89635
823260,260,1.40525,103.89641
514527,527,1.36969,103.94792
